matched_skills,total_skills,word_count,score,match_percentage
2,4,280,56.67,50
4,6,310,61.33,66.67
6,7,500,80.95,85.71
9,12,580,75.33,75
7,9,610,86.67,77.78
5,8,470,63.25,62.5
1,5,230,34.67,20
0,6,300,10,0
2,5,290,41.33,40
3,9,410,44.89,33.33
6,6,600,100,100
4,5,330,77.33,80
5,5,400,96,100
2,7,220,30.19,28.57
8,9,610,91.11,88.89
3,6,360,56,50
4,9,450,55.33,44.44
6,10,500,68,60
7,8,620,90.5,87.5
9,10,590,91.67,90
5,10,300,52,50
3,7,430,54.57,42.86
6,8,550,77.5,75
2,8,380,38,25
7,10,610,84.33,70
1,4,250,43.33,25
5,6,590,90,83.33
8,10,500,86.67,80
4,10,370,54.67,40
3,4,390,83.5,75
0,5,300,10,0
2,5,280,40.67,40
3,10,460,45.33,30
6,8,580,81,75
9,10,530,89.33,90
5,7,470,70.29,71.43
4,6,520,75.56,66.67
6,9,510,73.67,66.67
3,7,320,50.48,42.86
8,9,600,93.78,88.89
5,10,430,60.33,50
2,6,300,40,33.33
7,10,560,80.67,70
4,7,350,57.71,57.14
6,8,520,77.67,75
1,5,270,34,20
5,6,610,91.67,83.33
3,4,450,86,75
0,6,250,8.33,0
2,5,330,46,40
7,9,580,85.56,77.78
3,6,360,56,50
6,10,400,60,60
4,9,430,56.22,44.44
2,4,310,59.67,50
5,8,470,65.5,62.5
9,10,650,102,90
6,7,590,86.29,85.71
5,6,450,86.67,83.33
3,8,390,49.25,37.5
7,10,500,76,70
8,10,480,82,80
2,9,280,34.44,22.22
6,8,550,77.5,75
1,5,300,36,20
5,7,490,71.43,71.43
4,6,470,72.67,66.67
2,7,320,39.14,28.57
3,10,360,42,30
9,10,600,94,90
0,5,200,6.67,0
7,8,600,92.5,87.5
3,6,400,60,50
5,10,350,55.33,50
6,9,580,77.56,66.67
4,5,370,78.33,80
8,10,630,96,80
2,6,260,36.33,33.33
5,8,400,63,62.5
1,7,220,25.71,14.29
7,10,530,79.67,70
4,9,410,54,44.44
3,5,360,64,60
2,5,300,44,40
4,10,390,53,40
6,7,540,83.43,85.71
9,10,620,95.33,90
5,9,410,61.11,55.56
7,10,590,83.67,70
4,6,430,69.33,66.67
14,14,500,93.33,100
2,7,310,38.57,28.57
6,10,500,68,60
8,10,620,90.67,80
3,5,300,60,60
5,7,470,70.86,71.43
1,6,240,30,16.67
9,10,600,94,90
2,4,290,55.67,50
6,9,540,76.67,66.67
4,10,350,50.67,40
7,9,580,84.89,77.78
3,6,360,56,50
15,15,610,100.33,100
5,8,510,69.5,62.5
2,5,270,41,40
6,7,600,88.57,85.71
4,5,450,82,80
8,10,530,85.33,80
1,4,280,40.33,25
3,10,420,46,30
6,8,550,77.5,75
5,9,480,65.78,55.56
7,10,610,84.33,70
0,5,250,8.33,0
12,12,570,96.33,100
2,6,320,42.67,33.33
5,6,470,87.33,83.33
9,10,630,97,90
5,5,600,100,100
3,8,390,49.25,37.5
4,7,360,58.29,57.14
6,10,580,74.67,60
5,5,400,96,100
1,6,210,26,16.67
8,9,600,93.78,88.89
3,5,350,63.33,60
7,10,540,78,70
2,4,260,51.33,50
4,6,400,66.67,66.67
11,11,560,96.67,100
6,9,520,73.33,66.67
3,7,330,52.19,42.86
5,10,450,62,50
7,9,590,85.33,77.78
2,5,300,44,40
8,10,610,89.33,80
6,8,580,81,75
4,5,370,78.33,80
1,5,230,34.67,20
3,6,340,53.33,50
0,6,300,10,0
4,8,450,61.25,50
3,7,360,54.86,42.86
6,10,520,70.33,60
5,7,490,71.57,71.43
2,6,280,38.67,33.33
7,10,600,84,70
1,5,250,33.33,20
8,9,630,95.11,88.89
4,6,410,67.33,66.67
5,10,470,63.67,50
2,5,300,44,40
3,6,330,52,50
6,9,560,75.78,66.67
7,10,590,83.67,70
0,6,240,8,0
5,8,510,69.5,62.5
4,10,370,54.67,40
6,7,600,88.57,85.71
2,5,310,43.33,40
9,10,650,102,90
3,8,390,49.25,37.5
6,10,550,72.33,60
7,9,620,86.22,77.78
5,9,460,63.11,55.56
2,6,300,40,33.33
8,10,600,88,80
3,5,340,61.33,60
6,10,500,68,60
4,9,450,55.33,44.44
2,7,270,36.57,28.57
5,10,430,60.33,50
4,6,400,66.67,66.67
7,8,630,92.25,87.5
3,6,360,56,50
1,4,260,38.67,25
8,10,580,86.67,80
0,5,210,6.67,0
2,5,290,42.67,40
6,8,520,77.67,75
5,6,570,90,83.33
9,10,600,94,90
3,10,400,44,30
6,9,500,71.11,66.67
7,10,610,84.33,70
4,7,380,60,57.14
1,6,220,27.33,16.67
3,9,390,44.67,33.33
5,7,470,70.86,71.43
2,8,300,36,25
6,10,580,74.67,60
4,9,440,59.56,44.44
6,8,500,76,75
2,5,250,41.33,40
3,4,380,74.5,75
1,7,230,27.14,14.29
8,10,620,90.67,80
5,9,460,63.11,55.56
3,6,350,54,50
7,8,600,92.5,87.5
0,5,270,9,0
5,10,390,58,50
6,7,570,85.43,85.71
4,5,420,82,80
9,10,640,100.67,90
2,4,290,55.67,50
10,10,540,96,100
7,9,580,85.56,77.78
3,8,370,47.5,37.5
6,10,490,66.33,60
5,6,510,89,83.33
4,7,390,60.29,57.14
1,4,210,32,25
3,5,310,59.67,60
8,9,630,95.11,88.89
2,6,280,38.67,33.33
5,7,480,70.29,71.43
6,10,520,70.33,60
4,6,370,63.33,66.67
3,10,430,46.67,30
7,9,590,85.33,77.78
2,7,250,35.71,28.57
6,8,560,78.67,75
5,10,450,62,50
4,9,430,56.22,44.44
3,6,340,52.67,50
1,5,260,35.33,20
7,10,610,84.33,70
6,9,530,73.33,66.67
5,8,490,67.67,62.5
14,14,600,99.33,100
8,10,610,89.33,80
3,7,330,52.19,42.86
2,5,280,42.67,40
4,10,400,54,40
6,7,580,86,85.71
7,9,620,86.22,77.78
1,6,200,26.67,16.67
5,9,440,61.56,55.56
2,10,310,33.67,20
9,9,590,98.33,100
4,8,360,58,50
3,9,390,44.67,33.33
0,6,230,7.67,0
3,8,330,50.75,37.5
7,10,600,84,70
5,7,410,74,71.43
2,5,260,42.67,40
4,6,340,66,66.67
6,9,480,72,66.67
1,4,290,40.83,25
8,10,620,89.33,80
5,9,520,66.89,55.56
10,10,610,100,100
8,8,560,96.67,100
6,8,570,78.75,75
4,10,430,55.33,40
2,6,300,40,33.33
0,5,250,8.33,0
5,6,580,89.33,83.33
7,9,600,84.44,77.78
3,10,370,46.67,30
4,5,450,82,80
2,8,310,34.67,25
6,7,510,84.29,85.71
3,6,320,52,50
5,10,460,63.33,50
8,9,610,95.11,88.89
2,7,280,36.95,28.57
6,10,500,68,60
4,9,440,59.56,44.44
3,4,390,72.5,75
1,6,220,27.33,16.67
5,8,470,67.5,62.5
2,5,300,44,40
4,7,360,60.57,57.14
6,10,550,72.33,60
0,6,240,8,0
5,10,400,60,50
7,8,600,92.5,87.5
3,6,350,56,50
1,5,260,35.33,20
9,10,650,102,90
6,9,530,73.33,66.67
5,8,490,67.67,62.5
2,5,270,40,40
4,10,410,56.33,40
7,10,610,84.33,70
3,5,330,61.33,60
4,6,370,63.33,66.67
3,10,430,46.67,30
5,9,460,63.11,55.56
2,4,290,55.67,50
6,8,520,77.67,75
1,7,230,27.14,14.29
5,12,410,53.33,41.67
8,15,600,68.44,53.33
6,10,500,68,60
7,11,540,76.13,63.64
4,13,350,47.69,30.77
9,14,620,90.51,64.29
3,7,300,48.57,42.86
5,9,380,58.44,55.56
10,15,650,92.44,66.67
15,15,590,98.67,100
6,11,400,63.64,54.55
2,6,240,36,33.33
8,13,590,77.85,61.54
1,5,260,35.33,20
5,12,460,58.33,41.67
3,10,340,45.33,30
6,14,390,53.14,42.86
7,15,570,70.22,46.67
4,11,330,48.18,36.36
8,10,600,88,80
9,12,620,91.33,75
6,9,410,67.11,66.67
2,7,280,36.95,28.57
7,14,560,66.67,50
5,11,430,59.39,45.45
3,6,370,56,50
1,9,210,18.15,11.11
9,15,610,82.67,60
4,12,360,48,33.33
2,8,270,37.33,25
7,10,550,83,70
6,13,490,65.64,46.15
8,14,530,76.95,57.14
5,15,410,56.22,33.33
3,9,340,48.89,33.33
7,12,600,76.67,58.33
10,13,650,96.92,76.92
6,15,390,55.33,40
8,11,590,85.45,72.73
2,6,250,38.33,33.33
5,13,420,54.36,38.46
9,14,640,91.81,64.29
1,7,230,27.14,14.29
4,10,310,52.33,40
7,15,590,70.22,46.67
2,5,260,42.67,40
3,11,340,40.97,27.27
5,14,400,54.29,35.71
8,12,620,87.78,66.67
6,10,580,76,60
3,8,290,47.25,37.5
5,12,410,53.33,41.67
8,15,600,68.44,53.33
6,10,500,68,60
7,11,540,76.13,63.64
4,13,350,47.69,30.77
9,14,620,90.51,64.29
3,7,300,48.57,42.86
5,9,380,58.44,55.56
10,15,650,92.44,66.67
6,11,400,63.64,54.55
2,6,240,36,33.33
8,13,590,77.85,61.54
1,5,260,35.33,20
5,12,460,58.33,41.67
3,10,340,45.33,30
6,14,390,53.14,42.86
7,15,570,70.22,46.67
4,11,330,48.18,36.36
8,10,600,88,80
9,12,620,91.33,75
6,9,410,67.11,66.67
7,7,570,95.67,100
2,7,280,36.95,28.57
7,14,560,66.67,50
5,11,430,59.39,45.45
3,6,370,56,50
1,9,210,18.15,11.11
9,15,610,82.67,60
4,12,360,48,33.33
2,8,270,37.33,25
7,10,550,83,70
6,13,490,65.64,46.15
8,14,530,76.95,57.14
5,15,410,56.22,33.33
3,9,340,48.89,33.33
7,12,600,76.67,58.33
10,13,650,96.92,76.92
6,15,390,55.33,40
8,11,590,85.45,72.73
2,6,250,38.33,33.33
5,13,420,54.36,38.46
9,14,640,91.81,64.29
1,7,230,27.14,14.29
4,10,310,52.33,40
7,15,590,70.22,46.67
2,5,260,42.67,40
3,11,340,40.97,27.27
5,14,400,54.29,35.71
8,12,620,87.78,66.67
6,10,580,76,60
3,8,290,47.25,37.5
7,14,600,74.67,50
4,12,450,53,33.33
9,15,620,83.67,60
13,13,600,100,100
3,10,400,46.67,30
5,11,390,53.64,45.45
6,9,550,79.11,66.67
2,8,300,36.67,25
8,13,580,77.54,61.54
4,10,320,47.33,40
7,12,610,76.33,58.33
1,7,350,29.67,14.29
5,15,500,56.67,33.33
6,11,530,66.33,54.55
3,9,280,38,33.33
9,14,620,82.86,64.29
5,5,590,98.33,100
2,6,360,40,33.33
5,8,410,65,62.5
7,15,590,70,46.67
4,13,400,49.23,30.77
6,12,480,64,50
